씬 ID,씬 종류,대화 ID,초상화,화자,대사,선택지 ID,연결된 대화 ID,효과음,배경음악,표시 아이템,삽화
Scene ID,Scene Type,Dialogue ID,Character Portrait,Talker,Script,Choice ID,Linked Dialogue ID,SFX,BGM,Display Item,Illustration
1,General,1,,주인공,하…머리 아파…,,,,,,
,,,,,(주인공) ĆĆĆ밖에 비라도 내리고 Ć있나....Ć (주인공),,,,,,
,,,,,몇시지..?,,,,,,
,,,,,.....,,,,,,
,,,,,밤 9시네.,,,,,,
,,,,,.....,,,,,,
,,,,,베란다라도 나가 볼까....,,,,,,
2,General,1,,,얼마만에 밖이냐....진짜 안 나간 지 한참 됐네,,,,,,
,,,,,약간 비가 오고 있네....,,,,,,
,,,,,어우 춥다...,,,,,,
,,,,,오래는 못 있겠다.,,,,,,
,,,,,음...? 누구지...?,,,,,,
,,,,,옆집에 누가 살았었나....?,,,,,,
,,2,,???,.....후,,,,,,
,,,,,피곤해...,,,,,,
,,,,,.....?,,,,,,
,,,,,"어 뭐야, 옆집에 사람이 살고 있었네?",,,,,,
,,3,,주인공,....!,,,,,,
,,,,,아..안녕하세요...,,,,,,
,,,,,하도 말을 안 해서 목소리도 제대로 안 나오네,,,,,,
,,4,,???,ㅎㅎ,,,,,,
,,5,,주인공,.....?,,,,,,
,,6,,???,"아 죄송해요, 사람 만나는 게 좀 오랜만이라 갑자기 말 걸어서 당황하셨죠.",,,,,,
,,7,,주인공,"아, 아닙니다, 괜찮습니다.",,,,,,
,,8,,???,원래 이 집 살던 사람이에요?,,,,,,
,,9,,주인공,아...네,,,,,,
,,,,,산 지 좀 됐어요. 그쪽은요?,,,,,,
,,10,,???,"저는 얼마 되지는 않았어요, 이제 3달 정도?",,,,,,
,,11,,주인공,아직 얼마 되지는 않았네요.,,,,,,
,,12,,???,"그쵸, 아직 얼마 안되긴했죠.",,,,,,
,,13,,주인공,....,,,,,,
,,14,,???,….후,,,,,,
,,,,이채린,아...아직 서로 자기소개도 안 했네요 저는 이채린이에요. 그쪽은요?,,,,,,
,,15,,주인공,아 저는 @@@입니다.,,,,,,
,,16,,이채린,음...아까부터 존댓말만 하시던데 혹시 나이가...?,,,,,,
,,17,,주인공,아...저는 26살 입니다.,,,,,,
,,18,,이채린,"에이,,",,,,,,
,,,,,거짓말.,,,,,,
,,19,,주인공,"어이없네요, 초면인 사람한테.",,,,,,
,,20,,이채린,ㅋㅋㅋ 농담이에요.,,,,,,
,,21,,주인공,(진짜 그정도로 보이나..?),,,,,,
,,22,,이채린,제가 한 살 더 나이가 많네요.,,,,,,
,,,,,"27살이에요, 생일은 아직 안 지나서 만 나이로 25살.",,,,,,
,,23,,주인공,...네??,,,,,,
,,,,,(20대 초반 정도로 보이는데...),,,,,,
,,24,,이채린,ㅋㅋ 방금 저보고 나이 많다고 생각했죠.,,,,,,
,,25,,주인공,아..아니에요..그냥 조금 놀라서요.,,,,,,
,,26,,이채린,어이없어.,,,,,,
